,Course Code,Course Name,Course Description,Instructor(s),Terms Offered,Prerequisite(s),Equivalent Courses,Notes
111,FREN 28410,Ecrire le « Printemps arabe » au Maghreb : témoignages et perspectives littéraires,"Fin 2010, l'immolation de Mohamed Bouazizi, un vendeur ambulant tunisien, déclenche un soulèvement populaire qui s'étend rapidement au reste du monde arabe, entraînant notamment la chute des régimes en Tunisie et en Egypte et une série de reconfigurations d'ordre politique et socio-économique. Si les pays du Maghreb ont vécu ces soulèvements et leurs conséquences de manières différentes, les écrivains maghrébins ont été particulièrement sensibles à l'élan et à la promesse de changement portés par la rue. Ceci étant, et à l'image de l'appellation « Printemps arabe », à la fois utilisée et récusée, les dynamiques et les résultats des protestations ont fait l'objet de nombreux débats. En s'appuyant sur ce contexte historique, ce cours s'intéresse aux différentes modalités d'écriture des soulèvements au Maghreb à travers divers genres littéraires, du témoignage à la fiction, en passant par l'essai, le théâtre ou encore la poésie. En étudiant un corpus de textes francophones issus de la Tunisie (Meddeb, Filali, Bekri), de l'Algérie (Benfodil, Boudjedra, Tamzali, Sebbar) et du Maroc (Ben Jelloun, Elalamy, Terrab), nous nous intéresserons à la représentation de la révolte populaire dans ses dimensions socio-politique et culturelle mais aussi à des questions clés telles que les formes d'engagement des écrivains, leurs approches et choix esthétiques et le rapport entre la dynamique des soulèvements et la construction narrative ou poétique des textes.",K. Lyamlahy,Course not offered in 24-25.,FREN 20500 or 20503,Readings and discussions in French.,FREN 38410
112,FREN 28900,La Princesse de Clèves and the Genesis of the Modern Novel,"Madame de La Fayette's 1678 novel represents a turning point in the international development of the psychological novel and historical fiction. Set in a Renaissance past of courtly international intrigue, the novel plumbs its characters' interiorized struggles with erotic desire, marriage, and adultery, forging a path for later novelists such as Flaubert, George Eliot, and Tolstoy. We will examine debates about its literary form and moral impact, as well as around gender and women's writing, placing the novel in a transnational context (Spanish, Italian, and English romances, drama, and moral philosophy) and its later reception, including film adaptations and its role in heated contemporary controversies around the place of the humanities in society. Students are encouraged to undertake individual comparative research projects in relation to the novel. Course taught in English but reading ability in French required. All work in French for students seeking FREN credit; written work may be in English for those taking course for CMLT, SCTH, or FNDL credit.",Larry Norman,Winter,"Consent of instructor required for undergrads; those seeking FREN credit must have completed at least one French literature course, 21700 or higher.",FREN 38900,None
113,FREN 29301,Language Identity and Power in French-Creolophone Contexts,"This course examines the concept of language identity (i.e., the language[s] people employ to represent themselves) in multilingual Creolophone communities, particularly in Haiti. This course also examines the relationships between language identity, learning, language use, and literacy development in these societies. By the end of the course, students will be able to explain: 1) what language identity in multilingual Creolophone community reveal about speakers and their language attitudes; 2) how context and mode of communication can impact language identity and language use; 3) literacy acquisition and achievement in Creole communities; and 4) how Creolophones' learning and literacy development are affected by language policies and ideologies. A final project will require students to design and conduct a preliminary sociolinguistic study based on students' interests in the French-Creolophone world.",Gerdine Ulysse,Spring,"Knowledge of French and Kreyòl will be helpful, but not required.",Taught in English.,"LACS 29299, KREY 29300"
114,FREN 29401,Georges Perec Et L'Oulipo,TBD,None,Course not offered in 24-25.,None,FREN 39401,None
115,FREN 29700,Readings in Special Topics,This course is a study of directed readings in special topics not covered by courses offered as part of the program in French. Subjects treated and work completed for the course must be chosen in consultation with the instructor no later than the end of the preceding quarter.,None,None,"FREN 10300 or 20300, depending upon the requirements of the program for which credit is sought",None,Students are required to submit the College Reading and Research Course Form.
116,FREN 29900,BA Paper Preparation: French,"In consultation with a faculty member, students devote the equivalent of a one-quarter course to the preparation of a BA project.",None,None,Consent of undergraduate adviser,None,Students are required to submit the College Reading and Research Course Form. Must be taken for a quality grade. Counts towards course requirements for French majors seeking honors.
117,FREN 29901,Academic Research and Writing,TBD,Staff,None,None,None,None
118,FREN 37000,Neoclassical Aesthetics: Transnational Approaches,"Though ""aesthetic"" philosophy first developed as an autonomous field in the mid-eighteenth century, it has important roots in earlier eighteenth- and seventeenth-century debates concerning literature and the arts. In the wake of Cartesian rationalism, could reasoned method be reconciled with non-rational creativity, or decorous order with the unruly ""sublime""? Just what kind of ""truth"" was revealed by poetry or painting? What is the value of the Greco-Roman models versus authorial innovation? We will consider the relation between literature and other media (particularly opera and the visual arts) and read French texts in dialogue with other, and often contending, national trends (British, German, Italian). Readings will include Descartes, Pascal, Perrault, Félibien, Dryden, Du Bos, Addison, Vico, Montesquieu, Staël, and A.W. Schlegel.",Larry Norman,Winter,Reading knowledge of French is required. Undergrads permitted with consent of instructor.,Taught in English. Students seeking FREN credit must complete all readings and written work in French.,"ARTH 48301, SCTH 37000, CMLT 38600"
119,ITAL 10100,Beginning Elementary Italian I,"This course is the first of a three-part language sequence that provides beginning students with a solid foundation in the language and the cultural norms necessary for everyday communication in Italy. It is designed to help students obtain functional competency in speaking, writing, reading, and listening. Students will practice all three modes of communication (interpersonal, interpretive, and presentational). They will also explore aspects of Italian culture, traditions, and regions through a selection of texts and audio-visual materials that aim to raise cultural awareness and encourage intercultural reflection.",Staff,Autumn,None,None,None
120,ITAL 10200,Beginning Elementary Italian II,"This course offers a rapid review of the basic patterns of the language presented in ITAL 10100 and further explores the language and the cultural norms necessary for everyday communication in Italy. It is designed to help students obtain functional competency in speaking, writing, reading, and listening with a focus on present and past time frames. Students will practice all three modes of communication (interpersonal, interpretive, and presentational). They will also explore aspects of Italian culture, traditions, and regions through a selection of texts and audio-visual materials that aim to raise cultural awareness and encourage intercultural reflection.",Staff,Winter,ITAL 10100 or placement,None,None
